Panel,Direction,Cluster,Cluster_label,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,Count
C,B73-higher,Root_VE,Root_VE,00040,Pentose and glucuronate interconversions,22/1082,175/19775,0.0002339905890313875,0.02022331324694556,22
C,B73-higher,Root_VE,Root_VE,00940,Phenylpropanoid biosynthesis,37/1082,369/19775,0.0002889044749563651,0.02022331324694556,37
C,B73-higher,Root_VE,Root_VE,00052,Galactose metabolism,16/1082,117/19775,0.000635381995930075,0.02965115981007017,16
C,B73-higher,Root_VE,Root_VE,01004,Lipid biosynthesis proteins,19/1082,163/19775,0.001515824526265153,0.04916233169226361,19
C,B73-higher,Root_VE,Root_VE,00061,Fatty acid biosynthesis,11/1082,72/19775,0.001755797560437986,0.04916233169226361,11
C,B73-higher,Root_V1.V2,Root_V1.V2,00940,Phenylpropanoid biosynthesis,45/1023,369/19775,8.37198056160672e-08,1.180449259186547e-05,45
C,B73-higher,Root_V1.V2,Root_V1.V2,00040,Pentose and glucuronate interconversions,22/1023,175/19775,0.000105699366654056,0.007451805349110947,22
C,B73-higher,Root_V4,Root_V4,00940,Phenylpropanoid biosynthesis,40/1170,369/19775,0.0001635140340259999,0.01228523944037695,40
C,B73-higher,Root_V4,Root_V4,00052,Galactose metabolism,18/1170,117/19775,0.0001742587154663398,0.01228523944037695,18
C,B73-higher,Root_V4,Root_V4,00040,Pentose and glucuronate interconversions,22/1170,175/19775,0.0006770582393798582,0.03182173725085333,22
C,B73-higher,Root_V4,Root_V4,00061,Fatty acid biosynthesis,12/1170,72/19775,0.0009874856662447559,0.03480886973512765,12
C,B73-higher,Leaf_VE.V1.V2,Leaf_VE-V2,00040,Pentose and glucuronate interconversions,22/1085,175/19775,0.0002431867179178541,0.03355976707266386,22
C,B73-higher,Leaf_VE.V1.V2,Leaf_VE-V2,00940,Phenylpropanoid biosynthesis,36/1085,369/19775,0.000609227982256672,0.04203673077571037,36
C,B73-higher,Leaf_V4.V6.V8,Leaf_V4-V8,00040,Pentose and glucuronate interconversions,22/1073,175/19775,0.0002082188202953995,0.01671992578178262,22
C,B73-higher,Leaf_V4.V6.V8,Leaf_V4-V8,00940,Phenylpropanoid biosynthesis,37/1073,369/19775,0.0002458812614968033,0.01671992578178262,37
C,B73-higher,Leaf_V4.V6.V8,Leaf_V4-V8,00052,Galactose metabolism,16/1073,117/19775,0.0005806625216926471,0.02632336765006667,16
C,B73-higher,Leaf_V4.V6.V8,Leaf_V4-V8,01004,Lipid biosynthesis proteins,19/1073,163/19775,0.001376933264106516,0.0446965314117852,19
C,B73-higher,Leaf_V4.V6.V8,Leaf_V4-V8,00061,Fatty acid biosynthesis,11/1073,72/19775,0.001643254831315632,0.0446965314117852,11
D,Y12-higher,Root_VE,Root_VE,00940,Phenylpropanoid biosynthesis,27/685,369/19775,0.0002274707425815054,0.020685798590191,27
D,Y12-higher,Root_VE,Root_VE,09109,Metabolism of terpenoids and polyketides,31/685,458/19775,0.0003207100556618759,0.020685798590191,31
D,Y12-higher,Root_V4,Root_V4,00940,Phenylpropanoid biosynthesis,29/713,369/19775,7.771665121824869e-05,0.009947731355935832,29
D,Y12-higher,Leaf_VE.V1.V2,Leaf_VE-V2,09109,Metabolism of terpenoids and polyketides,32/720,458/19775,0.0003531987459476883,0.02126034255488055,32
D,Y12-higher,Leaf_VE.V1.V2,Leaf_VE-V2,00902,Monoterpenoid biosynthesis,5/720,19/19775,0.0004794721586712485,0.02126034255488055,5
D,Y12-higher,Leaf_VE.V1.V2,Leaf_VE-V2,00940,Phenylpropanoid biosynthesis,27/720,369/19775,0.0004944265710437337,0.02126034255488055,27
D,Y12-higher,Leaf_VE.V1.V2,Leaf_VE-V2,00480,Glutathione metabolism,17/720,196/19775,0.0008548932087479054,0.02757030598211995,17
D,Y12-higher,Leaf_V4.V6.V8,Leaf_V4-V8,09109,Metabolism of terpenoids and polyketides,34/725,458/19775,8.429215657487623e-05,0.00674876091873279,34
D,Y12-higher,Leaf_V4.V6.V8,Leaf_V4-V8,00940,Phenylpropanoid biosynthesis,29/725,369/19775,0.0001038270910574275,0.00674876091873279,29
D,Y12-higher,Leaf_V4.V6.V8,Leaf_V4-V8,00902,Monoterpenoid biosynthesis,5/725,19/19775,0.0004949112609882801,0.02144615464282547,5
D,Y12-higher,Leaf_V4.V6.V8,Leaf_V4-V8,00195,Photosynthesis,12/725,117/19775,0.001225228463218804,0.03981992505461112,12
